"Crop Year","Grain Week","Week Ending Date","worksheet","metric","period","grain","grade","Region","Ktonnes"
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Corn",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Corn",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Canaryseed",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Canaryseed",,"Saskatchewan",1.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Canaryseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Canaryseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Mustard Seed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Mustard Seed",,"Saskatchewan",0.8
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Mustard Seed",,"Alberta",0.7
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Mustard Seed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Beans",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Beans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Beans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Beans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Lentils",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Lentils",,"Saskatchewan",14.5
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Lentils",,"Alberta",4.5
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Lentils",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Chick Peas",,"Saskatchewan",1.4
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Chick Peas",,"Alberta",0.6
"2026-2027",1,"09/08/2026","Primary","Deliveries","Current Week","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Wheat",,"Manitoba",128.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Wheat",,"Saskatchewan",228.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Wheat",,"Alberta",170.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Amber Durum",,"Manitoba",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Amber Durum",,"Saskatchewan",70.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Amber Durum",,"Alberta",22.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Amber Durum",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Oats",,"Manitoba",9.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Oats",,"Saskatchewan",11.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Oats",,"Alberta",2.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Oats",,"British Columbia",0.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Barley",,"Manitoba",2.0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Barley",,"Saskatchewan",22.0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Barley",,"Alberta",6.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Barley",,"British Columbia",0.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Rye",,"Manitoba",0.8
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Rye",,"Saskatchewan",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Rye",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Rye",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Flaxseed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Flaxseed",,"Saskatchewan",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Flaxseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Flaxseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canola",,"Manitoba",24.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canola",,"Saskatchewan",144.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canola",,"Alberta",90.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canola",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Soybeans",,"Manitoba",3.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Soybeans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Soybeans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Soybeans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Peas",,"Manitoba",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Peas",,"Saskatchewan",11.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Peas",,"Alberta",9.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Corn",,"Manitoba",1.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Corn",,"Saskatchewan",0.6
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Corn",,"Alberta",3.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Corn",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canaryseed",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canaryseed",,"Saskatchewan",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canaryseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Canaryseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Mustard Seed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Mustard Seed",,"Saskatchewan",0.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Mustard Seed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Mustard Seed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Beans",,"Manitoba",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Beans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Beans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Beans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Lentils",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Lentils",,"Saskatchewan",7.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Lentils",,"Alberta",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Lentils",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Chick Peas",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Chick Peas",,"Saskatchewan",0.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Chick Peas",,"Alberta",0.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Current Week","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Wheat",,"Manitoba",74.8
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Wheat",,"Saskatchewan",187.6
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Wheat",,"Alberta",107.8
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Wheat",,"British Columbia",0.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Amber Durum",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Amber Durum",,"Saskatchewan",60.4
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Amber Durum",,"Alberta",13.4
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Amber Durum",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Oats",,"Manitoba",7.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Oats",,"Saskatchewan",15.8
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Oats",,"Alberta",4.0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Oats",,"British Columbia",0.6
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Barley",,"Manitoba",1.9
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Barley",,"Saskatchewan",13.4
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Barley",,"Alberta",15.9
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Barley",,"British Columbia",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Rye",,"Manitoba",1.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Rye",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Rye",,"Alberta",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Rye",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Flaxseed",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Flaxseed",,"Saskatchewan",1.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Flaxseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Flaxseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canola",,"Manitoba",11.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canola",,"Saskatchewan",69.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canola",,"Alberta",32.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canola",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Soybeans",,"Manitoba",1.7
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Soybeans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Soybeans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Soybeans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Peas",,"Manitoba",1.6
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Peas",,"Saskatchewan",25.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Peas",,"Alberta",32.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Corn",,"Manitoba",4.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Corn",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Corn",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Corn",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canaryseed",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canaryseed",,"Saskatchewan",1.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canaryseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Canaryseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Mustard Seed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Mustard Seed",,"Saskatchewan",0.8
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Mustard Seed",,"Alberta",0.7
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Mustard Seed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Beans",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Beans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Beans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Beans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Lentils",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Lentils",,"Saskatchewan",14.5
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Lentils",,"Alberta",4.5
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Lentils",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Chick Peas",,"Saskatchewan",1.4
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Chick Peas",,"Alberta",0.6
"2026-2027",1,"09/08/2026","Primary","Deliveries","Crop Year","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Wheat",,"Manitoba",128.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Wheat",,"Saskatchewan",228.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Wheat",,"Alberta",170.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Amber Durum",,"Manitoba",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Amber Durum",,"Saskatchewan",70.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Amber Durum",,"Alberta",22.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Amber Durum",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Oats",,"Manitoba",9.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Oats",,"Saskatchewan",11.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Oats",,"Alberta",2.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Oats",,"British Columbia",0.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Barley",,"Manitoba",2.0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Barley",,"Saskatchewan",22.0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Barley",,"Alberta",6.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Barley",,"British Columbia",0.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Rye",,"Manitoba",0.8
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Rye",,"Saskatchewan",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Rye",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Rye",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Flaxseed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Flaxseed",,"Saskatchewan",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Flaxseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Flaxseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canola",,"Manitoba",24.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canola",,"Saskatchewan",144.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canola",,"Alberta",90.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canola",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Soybeans",,"Manitoba",3.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Soybeans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Soybeans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Soybeans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Peas",,"Manitoba",0.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Peas",,"Saskatchewan",11.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Peas",,"Alberta",9.5
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Corn",,"Manitoba",1.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Corn",,"Saskatchewan",0.6
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Corn",,"Alberta",3.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Corn",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canaryseed",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canaryseed",,"Saskatchewan",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canaryseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Canaryseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Mustard Seed",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Mustard Seed",,"Saskatchewan",0.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Mustard Seed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Mustard Seed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Beans",,"Manitoba",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Beans",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Beans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Beans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Lentils",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Lentils",,"Saskatchewan",7.2
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Lentils",,"Alberta",0.9
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Lentils",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Chick Peas",,"Manitoba",0.1
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Chick Peas",,"Saskatchewan",0.7
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Chick Peas",,"Alberta",0.4
"2026-2027",1,"09/08/2026","Primary","Shipments","Crop Year","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Wheat",,"Manitoba",274.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Wheat",,"Saskatchewan",540.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Wheat",,"Alberta",451.9
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Wheat",,"British Columbia",4.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Amber Durum",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Amber Durum",,"Saskatchewan",227.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Amber Durum",,"Alberta",78.0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Amber Durum",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Oats",,"Manitoba",65.9
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Oats",,"Saskatchewan",105.8
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Oats",,"Alberta",29.8
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Oats",,"British Columbia",4.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Barley",,"Manitoba",14.7
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Barley",,"Saskatchewan",64.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Barley",,"Alberta",103.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Barley",,"British Columbia",0.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Rye",,"Manitoba",5.9
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Rye",,"Saskatchewan",3.8
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Rye",,"Alberta",2.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Rye",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Flaxseed",,"Manitoba",1.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Flaxseed",,"Saskatchewan",13.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Flaxseed",,"Alberta",0.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Flaxseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canola",,"Manitoba",53.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canola",,"Saskatchewan",234.5
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canola",,"Alberta",116.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canola",,"British Columbia",0.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Soybeans",,"Manitoba",15.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Soybeans",,"Saskatchewan",0.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Soybeans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Soybeans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Peas",,"Manitoba",13.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Peas",,"Saskatchewan",121.0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Peas",,"Alberta",82.8
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Corn",,"Manitoba",20.1
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Corn",,"Saskatchewan",4.6
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Corn",,"Alberta",28.5
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Corn",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canaryseed",,"Manitoba",0.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canaryseed",,"Saskatchewan",5.8
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canaryseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Canaryseed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Mustard Seed",,"Manitoba",0.6
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Mustard Seed",,"Saskatchewan",6.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Mustard Seed",,"Alberta",2.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Mustard Seed",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Beans",,"Manitoba",138.2
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Beans",,"Saskatchewan",2.3
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Beans",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Beans",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Lentils",,"Manitoba",1.0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Lentils",,"Saskatchewan",136.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Lentils",,"Alberta",13.0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Lentils",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Chick Peas",,"Manitoba",2.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Chick Peas",,"Saskatchewan",20.4
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Chick Peas",,"Alberta",5.9
"2026-2027",1,"09/08/2026","Primary","Stocks","Current Week","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Wheat",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Wheat",,"Saskatchewan",9.5
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Wheat",,"Alberta",0.5
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Amber Durum",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Amber Durum",,"Saskatchewan",44.6
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Amber Durum",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Amber Durum",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Oats",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Oats",,"Saskatchewan",0.8
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Oats",,"Alberta",0.9
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Oats",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Barley",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Barley",,"Saskatchewan",0.2
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Barley",,"Alberta",0.3
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Barley",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Rye",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Rye",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Rye",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Rye",,"British Columbia",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Flaxseed",,"Manitoba",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Flaxseed",,"Saskatchewan",1.4
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Flaxseed",,"Alberta",0
"2026-2027",1,"09/08/2026","Primary","Condo Storage","Current Week","Flaxseed",,"British Columbia",0
